texto,twitter_id,data,likes,retweets,replys
"@MeiaUmPontoOito @dag_duts @folha Amigo, não existe ""condenado"" em três instâncias.
Só houve um julgamento em uma instância.
O Lula e testemunhas nem são ouvidos nas demais instâncias.
E nem devem, pois eles só julgam os recursos apresentados.

E mantiveram a condenação vigente pois não sabiam da fraude 🙂",1564271915056898048,2022-08-29 15:21:01+00:00,0,0,0
"@BolsonaroSP O Lula é um coitado que vive de fantasias achando que é o encantador de serpentes, já era. O ´povo caiu na real e já não acredita nas mentiras ditas por ele.",1564271913706340352,2022-08-29 15:21:01+00:00,0,0,0
LULA CONTINUA LIDERANDO DESDE 2018 SEGUNDO PESQUISAS 🙅🏽‍♂️🙅🏼‍♂️🙅🏾‍♂️🙅🏿‍♂️🙅🏽‍♂️🙅🏼‍♂️🙅🏾‍♂️🙅🏿‍♂️🙅🏽‍♂️🙅🏼‍♂️🙅🏽‍♂️🙅🏼‍♂️🙅🏿‍♂️🙅🏽‍♂️🙅🏼‍♂️🙅🏾‍♂️🙅🏽‍♂️🙅🏼‍♂️ https://t.co/7b37zEsaLc,1564271913148588032,2022-08-29 15:21:01+00:00,0,0,0
"@TGANASTACIO Achou curioso que Lula atacou Ciro por ter ido a Paris e ironicamente foi um único que estava naquele palco e que efetivamente votou em Haddad, enquanto os demais votaram em Bolsonaro ou estava preso?",1564271912691408900,2022-08-29 15:21:01+00:00,0,0,0
@camposmello @veramagalhaes Essa foi a tática se lula tiver apanhando sai com essa retórica pra não falar da surra ¯\_(ツ)_/¯,1564271912464809984,2022-08-29 15:21:01+00:00,0,0,0
"ciro, bolsonaro e lula, é difícil escolher qual é o pior pqp",1564271912011931648,2022-08-29 15:21:01+00:00,0,0,0
"@UOLNoticias @jairbolsonaro Bolsonaro nas considerações finais:
LULA: 5x
ARGENTINA: 4x
CHILE: 2x
COLÔMBIA: 2x
CHÁVEZ: 1x
MADURO: 1x
VENEZUELA: 1x
NICARÁGUA: 1x
GERALDO ALCKMIN: 1x
BRASIL: 1x
Combate à fome, inflação, preservação ambiental, investimentos em infraestrutura, saúde e educação: 0x",1564271911185649664,2022-08-29 15:21:01+00:00,0,0,0
o lula não tem culpa de ter roubado ele tem ascedente em escorpião,1564271911177158657,2022-08-29 15:21:01+00:00,0,0,0
"Primeiro debate presidencial das eleições 2022, promovido pela Band, que contou com candidatos como Jair Bolsonaro, Lula, Ciro e uns outros.

https://t.co/LOnNjtaxwC",1564271911156293632,2022-08-29 15:21:01+00:00,0,0,0
"@rosana É dona Rosana, o Lula deveria ter ajudado o Brasil quando estava preso, fingindo ser candidato, deveria ter apoiando o Ciro, ao invés disso preferiu apoiar o Haddad que tinha tomado uma surra na disputa da prefeitura em SP.
O resto é história.",1564271910170632192,2022-08-29 15:21:00+00:00,0,0,0
Toda hora o Lula vai tá em um local diferente,1564271909436628994,2022-08-29 15:21:00+00:00,0,0,0
@BolsonaroSP O Lula usa a classe pobre para ser perdoado ou fugir dos seus crimes,1564271902876639234,2022-08-29 15:20:59+00:00,0,0,0
