texto,twitter_id,data,likes,retweets,replys
@Vane__Chaves meu deus o lula nem ganhou e já tao roubando,1576556049745989632,2022-10-02 12:53:47+00:00,0,0,0
@_pinheira Tome um gin tônica top por nós! Logo Lula já vai ser Presidente na Irlanda também!,1576556049389490176,2022-10-02 12:53:47+00:00,0,0,0
@steviegass L DE LINDAS E L DE LULA 13!!!!!!!!!,1576556049334931456,2022-10-02 12:53:47+00:00,0,0,0
Lula só vence a Eleição se for na fraude ! https://t.co/OFoRmBBfj5,1576556049196150785,2022-10-02 12:53:47+00:00,0,0,0
vou votar no lula e no dia 1 de janeiro de 2023 às 00:00 estarei cobrando minha picanha,1576556048785121281,2022-10-02 12:53:47+00:00,0,0,0
"única da minha família q não vai votar no lula (sou ciro gomes, 12) e tô quase sendo deserdada KKKKKK",1576556048185716736,2022-10-02 12:53:47+00:00,0,0,0
"@FilipeBGuerra Muito vago está mensagem. Tente explicar melhor o seu ponto de vista. O Lula não vai ser subserviente ao ocidente EUA,EU. É isso?",1576556048122449921,2022-10-02 12:53:47+00:00,0,0,0
LULA PRESIDENTE HOJE https://t.co/knIqXQxAOA,1576556047694974977,2022-10-02 12:53:47+00:00,0,0,0
"#LulaNoPrimeiroTurno13
LULA PRESIDENTE HOJE https://t.co/dFXflQzsLD",1576556047317143580,2022-10-02 12:53:47+00:00,0,0,0
"@fenotipcjp2 Olha cara eu analiso o mercado constantemente, sou investidor, o lucro que teve na época de Lula foi do bom evento das commodities, caso vc não saiba, por conta da crise dos EUA, o Brasil se transformou no maior vendedor de matéria prima do mundo, isso foi ótimo, mas hoje em dia+",1576556047291928577,2022-10-02 12:53:47+00:00,0,0,0
"bom dia, hoje é dia de realizar um sonho q eu tenho desde criança: votar no lula 🙌🏻",1576556047237799936,2022-10-02 12:53:47+00:00,0,0,0
"Vamos juntos! Nosso país está com Lula! Com amor e esperança!
#LulaEoPTtudoNoPrimeiroTurno 
#LULAPRESIDENTEHOJE https://t.co/cfYh4O1SQe",1576556046839345154,2022-10-02 12:53:47+00:00,0,0,0
"Coloquei tanta força no 13.

Lula presidente hoje.",1576556046264414208,2022-10-02 12:53:47+00:00,0,0,0
@jichusharon conseguiu fugir do alistamento e ainda votou no lula omg sam vc n cansa de provocar os idols coreanos,1576556046176649219,2022-10-02 12:53:47+00:00,0,0,0
"@LUIZPATRIOTA39 Lula lá! Lula já!

#LulaNo1ºTurno 
#PrefiroLula13
#BrasilDaEsperanca 🇧🇷🚩

EU VOTO 13 ❤️

LULA PRESIDENTE HOJE☀️

ESPERANÇOSO ‼️",1576556046033702912,2022-10-02 12:53:47+00:00,0,0,0
@pauloMi85864305 Quer Lula na cadeia,1576556045186396160,2022-10-02 12:53:46+00:00,0,0,0
@ThiagoResiste LULA PRESIDENTE HOJE,1576556045077336065,2022-10-02 12:53:46+00:00,0,0,0
"@isdrpotrich Amiga cidade pequena é um saco, eu postei do lula deu muito rolo pro meu lado daí pra protege minha família postei do Bolsonaro",1576556044880257024,2022-10-02 12:53:46+00:00,0,0,0
espero muito que o Lula seja eleito já no primeiro turno https://t.co/XWXSgFdUl0,1576556044062720000,2022-10-02 12:53:46+00:00,0,0,0
@JosuePatriota Como é ? LULA PRESIDENTE HOJE não pode ?,1576556043877744642,2022-10-02 12:53:46+00:00,0,0,0
"@BandJornalismo Não, lula é bandido vamos falar corretamente!!",1576556043509043200,2022-10-02 12:53:46+00:00,0,0,0
Lula venceu 1 turno na Australia! ❤️🔥❤️🔥❤️🔥As comemoracoes nao param 🥹🫶🏻 #LulaNoPrimeiroTurno13 #LulaEoPTtudoNoPrimeiroTurno #Lula #Lula13 https://t.co/3I9ylxDPIU,1576556043202854912,2022-10-02 12:53:46+00:00,0,0,0
Eu vou afundar com tanta força que o Lula vai sentir lá em São Bernardo! https://t.co/CEMqg6Jn3O,1576556043018317824,2022-10-02 12:53:46+00:00,0,0,0
@Veronicalbanez @cappellarianton LULA PRESIDENTE HOJE,1576556042171084803,2022-10-02 12:53:46+00:00,0,0,0
@flornegraa_ Tá tranquilo... rapaz eu tô de camisa com a cara do lula e adesivo... mas eh verde amarelo aki,1576556041939996672,2022-10-02 12:53:46+00:00,0,0,0
"@marceloM8_ Respondi carai rsss

Já te falei que acho esse papo de Lula democrata um estupro intelectual rss

Comprou congresso 2x, e minimamente 3 eleições, comprovadamente. A diferença é que ele é menos burro que o outro, e não saiu anunciando sua intenção: se eternizar no poder. Rss",1576556041826799616,2022-10-02 12:53:46+00:00,0,0,0
vou apertar 13 tão forte que Lula vai sentir entrando no cu dele https://t.co/64zzKyqovA https://t.co/Sqd0kNxafI,1576556041747120128,2022-10-02 12:53:46+00:00,0,0,0
A Irlanda é Lula! 🇮🇪 https://t.co/vNloOOQHzn,1576556041344798721,2022-10-02 12:53:45+00:00,0,0,0
"""minha família votou no lula tmb 😁"" (na intenção de vc me chamar pra te ver)",1576556041168244736,2022-10-02 12:53:45+00:00,0,0,0
"Dica pra quem quer usar vermelho e tá com medo: vá de fone de ouvido e tire apenas na hora de votar.

Eu encontrei uma amiga na fila que também foi de Lula e fiquei conversando com ela. Mas o fone até lá foi bem útil porque se alguém falou algo, não ouvi :)",1576556040954335233,2022-10-02 12:53:45+00:00,0,0,0
@rosalih LULA PRESIDENTE HOJE,1576556040849567745,2022-10-02 12:53:45+00:00,0,0,0
se for pra trabalhar no domingo pra apoiar Lula tudo bem,1576556040300003329,2022-10-02 12:53:45+00:00,0,0,0
tao fofo a foto do lula na urna,1576556040296239108,2022-10-02 12:53:45+00:00,0,0,0
@cappellarianton #Lula presidente HOJE,1576556040279449601,2022-10-02 12:53:45+00:00,0,0,0
Acordei com o hino na cabeça: Lula lá brilha esperança,1576556039784501248,2022-10-02 12:53:45+00:00,0,0,0
"não votar no lula é até compreensível, mas abrir a boca pra DEFENDER bolsonaro, aí já é demais, é o auge do desvio de caráter",1576556039696449537,2022-10-02 12:53:45+00:00,0,0,0
@JosuePatriota LULA PRESIDENTE HOJE!!,1576556039436062724,2022-10-02 12:53:45+00:00,0,0,0
Sabia que o Hoseok ia votar no Lula. https://t.co/gMAmMS88F3,1576556039306371073,2022-10-02 12:53:45+00:00,0,0,0
@carinaccarvalho Lula nunca mais!,1576556039104737281,2022-10-02 12:53:45+00:00,0,0,0
"Eu voto na periferia de Teresina/Piauí e o datafila confirma . Vai dar PT 
LULA PRESIDENTE HOJE https://t.co/cy6cjPvVmG",1576556038522032128,2022-10-02 12:53:45+00:00,0,0,0
txt macetando o botão do lula https://t.co/8sG4jGI6bL,1576556038056079360,2022-10-02 12:53:45+00:00,0,0,0
